bin_index,events,expected_events,X_min,X_max,Q_min,Q_max,Z_min,Z_max,PhPerp_min,PhPerp_max,Mh_min,Mh_max,used_reconstructed_kinematics,n_injections,avg_X,avg_Q,avg_Q2,avg_Z,avg_PhPerp,avg_Mh,avg_Y,exp_lumi [nb^-1],mc_lumi [nb^-1],injected_asymmetry,reconstructed_asymmetry,reconstructed_asymmetry_montecarlo_stderr,reconstructed_asymmetry_err
0,0,0,0.0001,0.0001585,0,9999,0,9999,0,0,0,9999,True,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000,35926.65838822302,0.0,0.0,0.0,
1,0,0,0.0001585,0.0002512,0,9999,0,9999,0,0,0,9999,True,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000,35926.65838822302,0.0,0.0,0.0,
2,179,196194,0.0002512,0.0003981,0,9999,0,9999,0,0,0,9999,True,1000,0.00036610278859784196,1.0610217670006534,1.1278023686399454,0.3051760566153835,0.6563212625911459,0.6563212625911459,0.7715076985784486,10000000,35926.65838822302,0.10000000000000185,0.08433733341767301,0.06275422399562022,0.004690470923274216
3,2786,3064724,0.0003981,0.000631,0,9999,0,9999,0,0,0,9999,True,1000,0.0005412259760576714,1.1344976883725333,1.2983927678539253,0.33159261156482434,0.6755731525783149,0.6755731525783149,0.605203900906042,10000000,35926.65838822302,0.09999999999999651,0.0782802366377602,0.02171928914236212,0.00041148598782949784
4,10817,11957115,0.000631,0.001,0,9999,0,9999,0,0,0,9999,True,1000,0.0008333693256581233,1.22570527370549,1.5352671664418773,0.36401935400791813,0.6858872645589467,0.6858872645589467,0.4651215512751136,10000000,35926.65838822302,0.10000000000001066,0.08553628781558266,0.015913879852426385,0.00015301100230394335
5,26969,29747587,0.001,0.0015849,0,9999,0,9999,0,0,0,9999,True,1000,0.0013067736499367715,1.3402199140490818,1.8652942709192677,0.38893396942176045,0.7074030346313489,0.7074030346313489,0.3599862727589273,10000000,35926.65838822302,0.0999999999999478,0.08306286919824785,0.012399181508833554,7.550237203599653e-05
6,49398,54058765,0.0015849,0.0025119,0,9999,0,9999,0,0,0,9999,True,1000,0.0020478975442849074,1.493492999941484,2.3669915316740617,0.4023448828115047,0.7391687734002429,0.7391687734002429,0.2911119599508803,10000000,35926.65838822302,0.09999999999999942,0.08554626663451857,0.011493518988313437,5.1712833505527844e-05
7,90409,78336786,0.0025119,0.0039811,0,9999,0,9999,0,0,0,9999,True,1000,0.00321957811618655,1.699691093597965,3.1540350070589747,0.41286816833868845,0.7864320951636262,0.7864320951636262,0.246452135854106,10000000,35926.65838822302,0.10000000000005241,0.09587025424941224,0.004438975705546175,1.4763078714122283e-05
8,174073,96062017,0.0039811,0.0063096,0,9999,0,9999,0,0,0,9999,True,1000,0.005079351814421245,1.9512946334502814,4.282539720814852,0.41848387542851584,0.8436169698818338,0.8436169698818338,0.2118655180177292,10000000,35926.65838822302,0.10000000000062433,0.09670642227567466,0.0033908233053675935,8.127172024690381e-06
9,277758,96681364,0.0063096,0.01,0,9999,0,9999,0,0,0,9999,True,1000,0.007988065988494563,2.3169287866261614,6.144976382470111,0.4218488702025477,0.9261311651308686,0.9261311651308686,0.1929232718636905,10000000,35926.65838822302,0.10000000000045194,0.09607406587395381,0.0036721895071987055,6.9677377613912965e-06
