bin_index,events,expected_events,X_min,X_max,Q_min,Q_max,Z_min,Z_max,PhPerp_min,PhPerp_max,Mh_min,Mh_max,used_reconstructed_kinematics,n_injections,avg_X,avg_Q,avg_Q2,avg_Z,avg_PhPerp,avg_Mh,avg_Y,exp_lumi [nb^-1],mc_lumi [nb^-1],injected_asymmetry,reconstructed_asymmetry,reconstructed_asymmetry_montecarlo_stderr,reconstructed_asymmetry_err
0,0,0,0.0001,0.0001585,0,9999,0,9999,0,0,0,9999,True,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8650000,2461.104270304881,0.0,0.0,0.0,
1,2,19272,0.0001585,0.0002512,0,9999,0,9999,0,0,0,9999,True,1000,0.00020248351883368526,1.0503418903969608,1.1039701234755717,0.3418822768039161,0.63604802879397,0.63604802879397,0.8209581899159556,8650000,2461.104270304881,0.1,6.106226635438361e-18,0.8858995075687002,0.6264255492516511
2,27,459010,0.0002512,0.0003981,0,9999,0,9999,0,0,0,9999,True,1000,0.00036858403520481875,1.4330319417932513,2.0610464717627215,0.3024128950444572,0.7942007114319353,0.7942007114319353,0.842561546595721,8650000,2461.104270304881,0.1,0.06942586088360925,0.31990423857706146,0.061565599419122895
3,285,4965296,0.0003981,0.000631,0,9999,0,9999,0,0,0,9999,True,1000,0.0005409227294649319,1.5744880413622948,2.4963677914542,0.32783504750757037,0.8681104889760645,0.8681104889760645,0.7006752870605794,8650000,2461.104270304881,0.1,0.09751110133423403,0.16565947992341357,0.009812820702278891
4,939,16405222,0.000631,0.001,0,9999,0,9999,0,0,0,9999,True,1000,0.0008308122254185453,1.6966315823451634,2.9335419359511907,0.3522799268735758,0.878379289285486,0.878379289285486,0.5366489074028822,8650000,2461.104270304881,0.1,0.09435829472603259,0.14404662215591468,0.004700783855344054
5,2072,35697875,0.001,0.0015849,0,9999,0,9999,0,0,0,9999,True,1000,0.0012972191362199713,1.8534035565707587,3.5631076604415073,0.3805560184247506,0.8765364063979147,0.8765364063979147,0.4175024111296368,8650000,2461.104270304881,0.1,0.09079270178120785,0.12723349189692362,0.002795159344775461
6,4642,56373976,0.0015849,0.0025119,0,9999,0,9999,0,0,0,9999,True,1000,0.0020449126635943924,2.0056375013670764,4.282688121529913,0.3993761508827723,0.8904998200424977,0.8904998200424977,0.3184705231049323,8650000,2461.104270304881,0.1,0.09586832307275542,0.054821946014808845,0.0008046404841113603
7,9151,76541978,0.0025119,0.0039811,0,9999,0,9999,0,0,0,9999,True,1000,0.003223326893114644,2.2250652708867755,5.447207624445138,0.4165204039099943,0.9303174907522926,0.9303174907522926,0.2568423403731338,8650000,2461.104270304881,0.1,0.0968405141054901,0.049504587165248644,0.0005175009667793913
8,13739,88572460,0.0039811,0.0063096,0,9999,0,9999,0,0,0,9999,True,1000,0.005061164023310365,2.4563315021290206,6.850302142843031,0.4193156825691702,0.9883427791655516,0.9883427791655516,0.2055866764319515,8650000,2461.104270304881,0.09999999999999944,0.09519972272073875,0.05338361928402872,0.0004554392470689528
9,16509,80284936,0.0063096,0.01,0,9999,0,9999,0,0,0,9999,True,1000,0.00793604132006985,2.8319617987276837,9.343613398939222,0.41772598540360184,1.031610914531079,1.031610914531079,0.1778524996540142,8650000,2461.104270304881,0.09999999999999935,0.10255518061193333,0.06144888131824066,0.00047824847863955683
10,15933,55538738,0.01,0.0158489,0,9999,0,9999,0,0,0,9999,True,1000,0.01247793522707187,3.4280836499806195,13.751982294056555,0.4131348206276065,1.0747824227211844,1.0747824227211844,0.16646432301826883,8650000,2461.104270304881,0.10000000000000193,0.09271993403365615,0.0746687818126061,0.000591548405402411
